"REF_DATE","GEO","DGUID","Criminal Justice System","Key indicators","Sex of accused","Offences","Statistics","Fiscal quarters","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022/2023","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276947504","1.1.2.1.22.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1276947628","1.1.2.1.28.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1276947628","1.1.2.1.28.2.3","9.7","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1276947628","1.1.2.1.28.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1276947628","1.1.2.1.28.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1276947705","1.1.2.1.33.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1276947705","1.1.2.1.33.2.3","-34.2","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1276947705","1.1.2.1.33.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1276947705","1.1.2.1.33.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1276947779","1.1.2.1.36.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1276947779","1.1.2.1.36.2.3","-19.5","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1276947779","1.1.2.1.36.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Adult criminal courts","Total number of charges","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1276947779","1.1.2.1.36.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276949462","1.2.2.1.1.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276949462","1.2.2.1.1.2.3","-46.5","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276949462","1.2.2.1.1.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276949462","1.2.2.1.1.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276949526","1.2.2.1.4.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276949526","1.2.2.1.4.2.3","-24.7","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276949526","1.2.2.1.4.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276949526","1.2.2.1.4.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276949631","1.2.2.1.15.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276949631","1.2.2.1.15.2.3","-57.0","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276949631","1.2.2.1.15.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276949631","1.2.2.1.15.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276949711","1.2.2.1.22.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276949711","1.2.2.1.22.2.3","-63.1","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276949711","1.2.2.1.22.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276949711","1.2.2.1.22.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1276949739","1.2.2.1.28.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1276949739","1.2.2.1.28.2.3","-81.8","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1276949739","1.2.2.1.28.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1276949739","1.2.2.1.28.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1276949764","1.2.2.1.33.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1276949764","1.2.2.1.33.2.3","-96.6","E","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1276949764","1.2.2.1.33.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1276949764","1.2.2.1.33.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1276949786","1.2.2.1.36.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1276949786","1.2.2.1.36.2.3","160.0","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1276949786","1.2.2.1.36.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Youth courts","Total number of charges","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1276949786","1.2.2.1.36.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1284127859","2.1.2.1.1.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1284127859","2.1.2.1.1.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1284127859","2.1.2.1.1.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1284127859","2.1.2.1.1.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1284127949","2.1.2.1.4.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1284127949","2.1.2.1.4.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1284127949","2.1.2.1.4.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1284127949","2.1.2.1.4.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1284128279","2.1.2.1.15.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1284128279","2.1.2.1.15.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1284128279","2.1.2.1.15.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1284128279","2.1.2.1.15.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1284128489","2.1.2.1.22.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1284128489","2.1.2.1.22.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1284128489","2.1.2.1.22.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1284128489","2.1.2.1.22.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1284128669","2.1.2.1.28.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1284128669","2.1.2.1.28.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1284128669","2.1.2.1.28.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1284128669","2.1.2.1.28.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1284128819","2.1.2.1.33.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1284128819","2.1.2.1.33.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1284128819","2.1.2.1.33.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1284128819","2.1.2.1.33.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1284128909","2.1.2.1.36.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1284128909","2.1.2.1.36.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1284128909","2.1.2.1.36.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Adult criminal courts","Total number of charges","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1284128909","2.1.2.1.36.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1284133859","2.2.2.1.1.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1284133859","2.2.2.1.1.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1284133859","2.2.2.1.1.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1284133859","2.2.2.1.1.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1284133949","2.2.2.1.4.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1284133949","2.2.2.1.4.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1284133949","2.2.2.1.4.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1284133949","2.2.2.1.4.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1284134279","2.2.2.1.15.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1284134279","2.2.2.1.15.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1284134279","2.2.2.1.15.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1284134279","2.2.2.1.15.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1284134489","2.2.2.1.22.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1284134489","2.2.2.1.22.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1284134489","2.2.2.1.22.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1284134489","2.2.2.1.22.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1284134669","2.2.2.1.28.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1284134669","2.2.2.1.28.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1284134669","2.2.2.1.28.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1284134669","2.2.2.1.28.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1284134819","2.2.2.1.33.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1284134819","2.2.2.1.33.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1284134819","2.2.2.1.33.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1284134819","2.2.2.1.33.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1284134909","2.2.2.1.36.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1284134909","2.2.2.1.36.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1284134909","2.2.2.1.36.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Youth courts","Total number of charges","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1284134909","2.2.2.1.36.2.3","","..","","","1"
"2019/2020","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276951125","3.1.2.1.1.2.3","","..","","","1"
"2020/2021","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276951125","3.1.2.1.1.2.3","-29.9","","","","1"
"2021/2022","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276951125","3.1.2.1.1.2.3","11.9","","","","1"
"2022/2023","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1276951125","3.1.2.1.1.2.3","6.1","","","","1"
"2019/2020","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276951215","3.1.2.1.4.2.3","","..","","","1"
"2020/2021","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276951215","3.1.2.1.4.2.3","-17.4","","","","1"
"2021/2022","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276951215","3.1.2.1.4.2.3","19.9","","","","1"
"2022/2023","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276951215","3.1.2.1.4.2.3","5.6","","","","1"
"2019/2020","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276951464","3.1.2.1.15.2.3","","..","","","1"
"2020/2021","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276951464","3.1.2.1.15.2.3","-38.5","","","","1"
"2021/2022","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276951464","3.1.2.1.15.2.3","3.9","","","","1"
"2022/2023","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276951464","3.1.2.1.15.2.3","0.4","","","","1"
"2019/2020","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276951639","3.1.2.1.22.2.3","","..","","","1"
"2020/2021","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276951639","3.1.2.1.22.2.3","-36.8","","","","1"
"2021/2022","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276951639","3.1.2.1.22.2.3","9.5","","","","1"
"2022/2023","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276951639","3.1.2.1.22.2.3","1.8","","","","1"
"2019/2020","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1276951775","3.1.2.1.28.2.3","","..","","","1"
"2020/2021","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1276951775","3.1.2.1.28.2.3","-28.7","","","","1"
"2021/2022","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1276951775","3.1.2.1.28.2.3","49.5","","","","1"
"2022/2023","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1276951775","3.1.2.1.28.2.3","12.9","","","","1"
"2019/2020","Nova Scotia","2016A000212","Adult criminal courts","Total number of charges","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1276951869","3.1.2.1.33.2.3","","..","","","1"
